,Embedding,Method,Time,Dimension,Window,Word count,Sampling,Cross-sentence,Epochs,Dataset,Score
50,w2v,CBOW,2020-04-20 15:59:38.167257,300,5,10000000,hs,Yes,10,Google,0.06876790830945559
51,w2v,CBOW,2020-04-20 15:59:47.256099,300,5,10000000,hs,Yes,10,MSR,0.193125
52,w2v,CBOW,2020-04-20 16:03:04.710831,300,10,10000000,hs,Yes,10,Google,0.06308841588211216
53,w2v,CBOW,2020-04-20 16:03:14.007027,300,10,10000000,hs,Yes,10,MSR,0.154
54,w2v,CBOW,2020-04-20 16:55:10.275010,300,2,1000000,ns,Yes,10,Google,0.0024559967253376994
55,w2v,CBOW,2020-04-20 16:55:12.716513,300,2,1000000,ns,Yes,10,MSR,0.010125
56,w2v,CBOW,2020-04-20 16:55:46.109889,300,5,1000000,ns,Yes,10,Google,0.001995497339336881
57,w2v,CBOW,2020-04-20 16:55:49.719272,300,5,1000000,ns,Yes,10,MSR,0.00925
58,w2v,CBOW,2020-04-20 16:56:31.744318,300,10,1000000,ns,Yes,10,Google,0.0012279983626688497
59,w2v,CBOW,2020-04-20 16:56:34.527097,300,10,1000000,ns,Yes,10,MSR,0.008
60,w2v,CBOW,2020-04-20 17:00:41.401911,300,2,5000000,ns,Yes,10,Google,0.029932460090053212
61,w2v,CBOW,2020-04-20 17:00:50.318369,300,2,5000000,ns,Yes,10,MSR,0.114375
62,w2v,CBOW,2020-04-20 17:03:43.770724,300,5,5000000,ns,Yes,10,Google,0.028090462546049938
63,w2v,CBOW,2020-04-20 17:03:51.685557,300,5,5000000,ns,Yes,10,MSR,0.10025
64,w2v,CBOW,2020-04-20 17:06:57.023936,300,10,5000000,ns,Yes,10,Google,0.0238436348751535
65,w2v,CBOW,2020-04-20 17:07:06.438157,300,10,5000000,ns,Yes,10,MSR,0.0875
66,w2v,CBOW,2020-04-20 17:15:35.655412,300,2,10000000,ns,Yes,10,Google,0.05490176013098649
67,w2v,CBOW,2020-04-20 17:15:51.398908,300,2,10000000,ns,Yes,10,MSR,0.20575
68,w2v,CBOW,2020-04-20 17:21:52.591747,300,5,10000000,ns,Yes,10,Google,0.04952926729431027
69,w2v,CBOW,2020-04-20 17:22:08.136666,300,5,10000000,ns,Yes,10,MSR,0.177375
70,w2v,CBOW,2020-04-20 17:28:20.703064,300,10,10000000,ns,Yes,10,Google,0.045845272206303724
71,w2v,CBOW,2020-04-20 17:28:34.090526,300,10,10000000,ns,Yes,10,MSR,0.160625
